,neutral,clickbait,inflammatory
FAKENIX_geoengineeringwatch.org,0.13260159536223975,-0.01291394333442962,0.35223107996952785
FAKENIX_clickhole.com,0.08716151968870364,0.24960651995256025,-0.09351934096953476
FAKENIX_consciouslifenews.com,0.04288886295229473,-0.15119174393383517,0.2008157040554655
FAKENIX_intellihub.com,0.04965676806074541,-0.06588340890874628,0.16788334038898575
FAKENIX_empirenews.net,0.10882936026293401,-0.13992854397958018,0.01598538434334754
FAKENIX_thefreethoughtproject.com,-0.0629141128453444,-0.06873541355254013,-0.2398587840094725
FAKENIX_yournewswire.com,-0.10563649348610801,0.16461576560236224,0.4343056383427315
FAKENIX_react365.com,-0.00013925611133061734,0.10990074343017922,0.1753906303080195
FAKENIX_globalresearch.ca,0.10145892502074985,0.030664560315628142,0.013683326002351868
FAKENIX_collective-evolution.com,0.05323018600785932,-0.12084050984190457,0.1635221113474559
FAKENIX_dcclothesline.com,0.10186321127373689,-0.18989352940319448,-0.2569692396116553
FAKENIX_duffelblog.com,0.09645392615113757,-0.06934928847880335,-0.18483609813891483
FAKENIX_occupydemocrats.com,0.15139718554748866,-0.1712466964794978,-0.10461881060344606
FAKENIX_wnd.com,0.1408766927849986,-0.04910619759079776,-0.0674304750582849
FAKENIX_twitchy.com,0.09052265854612106,-0.16942759191389617,0.0457756735997374
FAKENIX_hangthebankers.com,-0.13480521499161274,0.16944895790858477,-0.012426147119542562
FAKENIX_flyheight.com,-0.05744924676478515,-0.03945371061743771,0.01128465078527827
RNIX_theage.com.au,-0.14327858021703097,0.15193304756279885,-0.1985143738659714
RNIX_adelaidenow.com.au,-0.008739181132561795,0.09812594409679642,-0.08426991787461824
RNIX_heraldsun.com.au,0.0464256002691799,-0.07406756295084352,0.037126497206211244
RNIX_crikey.com.au,0.20471633658872748,-0.030597374530137736,-0.4796040624903232
RNIX_au.news.yahoo,0.12051234764731128,0.15516016266207502,-0.11374630999591596
RNIX_thewest.com.au,-0.0819247331219503,0.27282906853382977,0.16951164460859866
RNIX_themercury.com.au,0.052938584363719746,-0.09246506720633801,-0.2587126250838373
RNIX_afr.com,0.10372395691357952,-0.10146371635307491,-0.15494615705378872
RNIX_9news.com.au,0.008542958533591723,0.10650638710065993,-0.14477573921440234
RNIX_huffingtonpost.com.au,-0.07044798260367424,0.1838319374128185,0.23652741428897525
RNIX_dailytelegraph.com.au,-0.053590113057185876,0.1055812324077802,-0.033205322876754914
RNIX_couriermail.com.au,0.22061730832001386,-0.014947001594508832,-0.1392659321224102
RNIX_brisbanetimes.com.au,-0.01650936781336244,0.021755070111011833,0.3003014178253734
RNIX_independentaustralia.net,-0.0034699427579822154,0.056487000412483335,-0.257625254096219
RNIX_news.com.au,-0.027840478984085325,0.04557687026144594,0.4820260831613553
RNIX_ntnews.com.au,0.005786962396253179,0.09727915091559042,-0.07948813569443951
RNIX_theaustralian.com.au,0.030048828436046546,0.03186379068573804,0.4426372194994405
RNIX_perthnow.com.au,0.03149184513836287,-0.0720885798003702,-0.060317231356351704
RNIX_newmatilda.com,-0.000514730753414327,-0.09565803674026396,-0.28607565051138034
RNIX_canberratimes.com.au,0.005809761478751744,-0.04808233387787168,0.36725819143394123
RNIX_skynews.com.au,0.21772830723801212,-0.19784420556697227,-0.12668974187415966
RNIX_watoday.com.au,0.15974519397541198,-0.043046349266579825,-0.10534477614594503
RNIX_thesaturdaypaper.com.au,-0.05841874085801674,0.19964260098371728,0.1896636297975964
